                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.46843,                0.32553,                 1.1489,                0.99175,                0.99692,                0.99368,                0.96839,                0.24107,                0.16785,                0.90318,              0.0092575,              0.0092575,              0.0092575
                     78,                0.47099,                0.32762,                 1.1548,                0.99027,                0.99589,                0.99344,                0.96966,                0.23818,                0.16968,                0.89462,              0.0092476,              0.0092476,              0.0092476
                     79,                0.47126,                0.32594,                 1.1526,                0.99183,                0.99657,                0.99372,                0.97024,                0.24045,                0.16873,                 0.9015,              0.0092377,              0.0092377,              0.0092377
                     80,                0.47505,                 0.3271,                 1.1592,                0.99082,                0.99692,                0.99352,                0.97138,                0.23917,                0.16331,                0.89636,              0.0092278,              0.0092278,              0.0092278
                     81,                0.47744,                0.33072,                 1.1611,                0.99359,                0.99692,                0.99348,                0.97076,                0.24023,                 0.1647,                0.89831,              0.0092179,              0.0092179,              0.0092179
                     82,                0.47865,                0.33265,                 1.1604,                0.99385,                0.99591,                0.99333,                0.97133,                0.23917,                0.16216,                0.89866,               0.009208,               0.009208,               0.009208
                     83,                0.42532,                0.29759,                 1.1149,                0.99487,                0.99565,                 0.9935,                0.97166,                0.24529,                 0.1647,                0.90253,              0.0091981,              0.0091981,              0.0091981
                     84,                 0.4396,                 0.3084,                 1.1284,                0.99488,                0.99666,                0.99352,                0.96979,                0.24495,                0.16325,                0.90344,              0.0091882,              0.0091882,              0.0091882
                     85,                0.44936,                 0.3138,                 1.1347,                0.99556,                0.99589,                0.99357,                0.96939,                0.24259,                0.16146,                0.90005,              0.0091783,              0.0091783,              0.0091783
                     86,                0.45296,                0.31794,                 1.1384,                0.99487,                0.99646,                0.99358,                0.96935,                0.24012,                0.16178,                0.89906,              0.0091684,              0.0091684,              0.0091684
                     87,                0.45828,                0.31637,                 1.1439,                0.99342,                0.99692,                0.99381,                 0.9676,                0.24129,                0.16412,                0.90226,              0.0091585,              0.0091585,              0.0091585
                     88,                0.45524,                0.31439,                 1.1391,                 0.9934,                0.99487,                0.99361,                0.96958,                0.24166,                0.16153,                0.90402,              0.0091486,              0.0091486,              0.0091486
                     89,                0.40728,                0.28653,                 1.0999,                0.99487,                0.99582,                0.99375,                0.97099,                0.24109,                0.15973,                0.90326,              0.0091387,              0.0091387,              0.0091387
                     90,                0.42383,                 0.2977,                 1.1154,                0.99368,                0.99692,                0.99358,                0.97119,                0.23889,                0.15924,                0.90215,              0.0091288,              0.0091288,              0.0091288
                     91,                0.43955,                0.30514,                 1.1265,                0.99181,                0.99692,                0.99335,                0.97117,                0.23977,                 0.1602,                0.90211,              0.0091189,              0.0091189,              0.0091189
                     92,                0.44295,                0.30728,                 1.1296,                0.99385,                0.99592,                0.99323,                0.97113,                0.24084,                0.15846,                0.90361,               0.009109,               0.009109,               0.009109
                     93,                0.45176,                0.31702,                 1.1395,                0.99483,                0.99384,                0.99321,                0.97198,                0.23849,                0.15995,                0.89712,              0.0090991,              0.0090991,              0.0090991
                     94,                0.45496,                0.31418,                 1.1391,                0.99346,                0.99487,                 0.9931,                0.97138,                0.23749,                 0.1595,                0.89834,              0.0090892,              0.0090892,              0.0090892
                     95,                0.46539,                0.31645,                 1.1502,                0.99487,                0.99568,                0.99334,                0.97249,                0.23684,                0.15647,                0.89565,              0.0090793,              0.0090793,              0.0090793
                     96,                0.39178,                0.27842,                 1.0862,                0.99385,                0.99516,                 0.9934,                  0.973,                0.22963,                0.15449,                 0.8886,              0.0090694,              0.0090694,              0.0090694
                     97,                0.41098,                0.28804,                 1.1048,                0.99358,                0.99589,                0.99332,                0.97288,                0.22821,                0.15308,                0.88658,              0.0090595,              0.0090595,              0.0090595
